County_Code,City_Name,County_Name,State_ABV,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost
366,"North Port-Sarasota-Bradenton, FL MSA",Manatee County,FL," $15,542 "," $9,321 "," $12,998 "," $12,206 "," $9,009 "," $6,941 "," $66,017 "
367,"Ocala, FL MSA",Marion County,FL," $12,131 "," $8,435 "," $12,914 "," $11,757 "," $7,452 "," $4,966 "," $57,654 "
368,"Port St. Lucie, FL MSA",Martin County,FL," $15,090 "," $9,912 "," $12,646 "," $12,775 "," $9,059 "," $6,965 "," $66,446 "
369,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",Miami-Dade County,FL," $20,117 "," $9,697 "," $11,666 "," $12,415 "," $10,803 "," $8,841 "," $73,539 "
370,"Monroe County, FL",Monroe County,FL," $22,379 "," $12,034 "," $13,420 "," $18,727 "," $12,469 "," $13,174 "," $92,202 "
371,"Jacksonville, FL HUD Metro FMR Area",Nassau County,FL," $13,583 "," $10,073 "," $13,628 "," $13,642 "," $8,572 "," $6,872 "," $66,371 "
372,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",Okaloosa County,FL," $15,442 "," $9,321 "," $12,844 "," $13,223 "," $8,972 "," $7,084 "," $66,887 "
373,"Okeechobee County, FL",Okeechobee County,FL," $10,721 "," $7,602 "," $12,901 "," $13,400 "," $6,639 "," $4,419 "," $55,682 "
374,"Orlando-Kissimmee-Sanford, FL MSA",Orange County,FL," $17,290 "," $9,106 "," $11,867 "," $12,924 "," $9,564 "," $7,453 "," $68,205 "
375,"Orlando-Kissimmee-Sanford, FL MSA",Osceola County,FL," $17,475 "," $8,542 "," $12,558 "," $12,864 "," $9,427 "," $7,487 "," $68,354 "
376,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",Palm Beach County,FL," $19,165 "," $9,939 "," $12,565 "," $12,296 "," $10,546 "," $8,705 "," $73,215 "
377,"Tampa-St. Petersburg-Clearwater, FL MSA",Pasco County,FL," $15,672 "," $9,052 "," $12,862 "," $12,505 "," $8,958 "," $6,897 "," $65,947 "
378,"Tampa-St. Petersburg-Clearwater, FL MSA",Pinellas County,FL," $16,409 "," $9,402 "," $11,858 "," $12,565 "," $9,352 "," $7,115 "," $66,701 "
379,"Lakeland-Winter Haven, FL MSA",Polk County,FL," $13,422 "," $8,569 "," $12,525 "," $12,326 "," $7,968 "," $5,652 "," $60,462 "
380,"Putnam County, FL",Putnam County,FL," $9,958 "," $8,327 "," $12,691 "," $13,161 "," $6,625 "," $4,244 "," $55,006 "
381,"Jacksonville, FL HUD Metro FMR Area",St. Johns County,FL," $17,038 "," $10,718 "," $13,229 "," $11,548 "," $10,057 "," $7,991 "," $70,580 "
382,"Port St. Lucie, FL MSA",St. Lucie County,FL," $16,095 "," $8,542 "," $12,843 "," $12,775 "," $8,927 "," $6,957 "," $66,138 "
383,"Pensacola-Ferry Pass-Brent, FL MSA",Santa Rosa County,FL," $14,702 "," $9,617 "," $13,578 "," $12,535 "," $8,812 "," $6,898 "," $66,142 "
384,"North Port-Sarasota-Bradenton, FL MSA",Sarasota County,FL," $17,349 "," $9,912 "," $12,869 "," $12,296 "," $9,878 "," $7,951 "," $70,254 "
385,"Orlando-Kissimmee-Sanford, FL MSA",Seminole County,FL," $17,675 "," $9,348 "," $12,293 "," $12,655 "," $9,791 "," $7,745 "," $69,507 "
386,"The Villages, FL MSA",Sumter County,FL," $12,396 "," $9,267 "," $13,516 "," $11,488 "," $7,849 "," $5,432 "," $59,948 "
387,"Suwannee County, FL",Suwannee County,FL," $9,980 "," $7,790 "," $12,634 "," $14,717 "," $6,439 "," $4,455 "," $56,016 "
388,"Taylor County, FL",Taylor County,FL," $9,515 "," $8,032 "," $13,256 "," $14,478 "," $6,358 "," $4,409 "," $56,047 "
389,"Union County, FL",Union County,FL," $9,452 "," $8,945 "," $12,622 "," $17,021 "," $6,666 "," $5,181 "," $59,887 "
390,"Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area",Volusia County,FL," $13,648 "," $9,428 "," $12,636 "," $12,386 "," $8,361 "," $6,062 "," $62,521 "
391,"Wakulla County, FL HUD Metro FMR Area",Wakulla County,FL," $11,304 "," $8,327 "," $13,920 "," $13,822 "," $7,113 "," $5,374 "," $59,860 "
392,"Walton County, FL HUD Metro FMR Area",Walton County,FL," $13,122 "," $10,288 "," $13,299 "," $12,595 "," $8,482 "," $6,363 "," $64,150 "
393,"Washington County, FL",Washington County,FL," $9,895 "," $7,709 "," $13,310 "," $14,268 "," $6,379 "," $4,491 "," $56,053 "
394,"Appling County, GA",Appling County,GA," $8,780 "," $7,736 "," $13,009 "," $12,473 "," $5,985 "," $5,492 "," $53,475 "
395,"Atkinson County, GA",Atkinson County,GA," $8,592 "," $7,629 "," $13,035 "," $12,892 "," $5,877 "," $5,498 "," $53,523 "
396,"Bacon County, GA",Bacon County,GA," $8,428 "," $7,548 "," $13,161 "," $13,281 "," $5,789 "," $5,548 "," $53,754 "
397,"Albany, GA MSA",Baker County,GA," $6,795 "," $8,193 "," $13,808 "," $12,984 "," $5,431 "," $5,392 "," $52,603 "
398,"Baldwin County, GA",Baldwin County,GA," $9,089 "," $7,575 "," $12,058 "," $12,622 "," $6,038 "," $5,303 "," $52,685 "
399,"Banks County, GA",Banks County,GA," $8,786 "," $8,273 "," $13,932 "," $12,652 "," $6,181 "," $6,012 "," $55,837 "
400,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Barrow County,GA," $13,083 "," $8,300 "," $14,168 "," $11,847 "," $7,748 "," $8,501 "," $63,647 "
401,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Bartow County,GA," $12,333 "," $7,844 "," $13,743 "," $12,924 "," $7,311 "," $8,093 "," $62,248 "
402,"Ben Hill County, GA",Ben Hill County,GA," $8,552 "," $7,951 "," $12,591 "," $12,952 "," $5,980 "," $5,470 "," $53,497 "
403,"Berrien County, GA",Berrien County,GA," $8,749 "," $8,193 "," $13,236 "," $12,952 "," $6,139 "," $5,886 "," $55,155 "
404,"Macon-Bibb County, GA HUD Metro FMR Area",Bibb County,GA," $10,188 "," $7,978 "," $11,836 "," $12,805 "," $6,582 "," $6,406 "," $55,794 "
405,"Bleckley County, GA",Bleckley County,GA," $8,440 "," $8,220 "," $13,591 "," $12,862 "," $6,036 "," $5,817 "," $54,965 "
406,"Brunswick, GA MSA",Brantley County,GA," $8,102 "," $8,596 "," $13,631 "," $11,248 "," $6,050 "," $5,678 "," $53,306 "
407,"Valdosta, GA MSA",Brooks County,GA," $9,007 "," $8,408 "," $13,298 "," $12,894 "," $6,310 "," $6,506 "," $56,423 "
408,"Savannah, GA MSA",Bryan County,GA," $16,073 "," $9,590 "," $13,735 "," $12,415 "," $9,298 "," $10,927 "," $72,038 "
409,"Bulloch County, GA",Bulloch County,GA," $9,799 "," $8,354 "," $12,050 "," $12,473 "," $6,578 "," $5,997 "," $55,251 "
410,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Burke County,GA," $7,534 "," $7,494 "," $13,980 "," $12,625 "," $5,446 "," $5,472 "," $52,551 "
411,"Butts County, GA HUD Metro FMR Area",Butts County,GA," $11,302 "," $9,509 "," $14,022 "," $12,924 "," $7,541 "," $8,425 "," $63,722 "
412,"Calhoun County, GA",Calhoun County,GA," $8,155 "," $8,327 "," $13,185 "," $13,041 "," $5,972 "," $5,631 "," $54,312 "
413,"Camden County, GA",Camden County,GA," $11,455 "," $9,079 "," $13,168 "," $11,306 "," $7,440 "," $7,117 "," $59,566 "
414,"Candler County, GA",Candler County,GA," $8,555 "," $8,139 "," $12,734 "," $12,473 "," $6,049 "," $5,457 "," $53,406 "
415,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Carroll County,GA," $11,543 "," $7,951 "," $13,798 "," $18,610 "," $7,063 "," $9,585 "," $68,551 "
416,"Chattanooga, TN-GA MSA",Catoosa County,GA," $10,121 "," $8,085 "," $13,275 "," $13,912 "," $6,597 "," $7,222 "," $59,212 "
417,"Charlton County, GA",Charlton County,GA," $8,572 "," $9,052 "," $13,847 "," $11,306 "," $6,386 "," $5,816 "," $54,979 "
418,"Savannah, GA MSA",Chatham County,GA," $14,041 "," $8,999 "," $12,273 "," $12,415 "," $8,348 "," $8,992 "," $65,069 "
419,"Columbus, GA-AL MSA",Chattahoochee County,GA," $14,658 "," $8,596 "," $11,352 "," $13,612 "," $8,426 "," $9,291 "," $65,935 "
420,"Chattooga County, GA",Chattooga County,GA," $8,635 "," $8,005 "," $12,718 "," $13,281 "," $6,029 "," $5,729 "," $54,397 "
421,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Cherokee County,GA," $16,334 "," $8,569 "," $13,926 "," $12,924 "," $9,023 "," $10,778 "," $71,554 "
422,"Athens-Clarke County, GA MSA",Clarke County,GA," $10,947 "," $8,408 "," $11,714 "," $11,847 "," $7,013 "," $6,677 "," $56,606 "
423,"Clay County, GA",Clay County,GA," $8,780 "," $8,193 "," $12,877 "," $13,041 "," $6,150 "," $5,813 "," $54,855 "
424,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Clayton County,GA," $13,043 "," $7,360 "," $12,467 "," $12,685 "," $7,393 "," $7,801 "," $60,749 "
425,"Clinch County, GA",Clinch County,GA," $8,780 "," $8,085 "," $13,344 "," $12,952 "," $6,111 "," $5,884 "," $55,157 "
426,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Cobb County,GA," $15,821 "," $9,133 "," $12,612 "," $12,685 "," $9,042 "," $10,231 "," $69,523 "
427,"Coffee County, GA",Coffee County,GA," $8,317 "," $7,682 "," $12,686 "," $12,892 "," $5,797 "," $5,225 "," $52,600 "
428,"Colquitt County, GA",Colquitt County,GA," $8,220 "," $8,166 "," $12,689 "," $12,952 "," $5,937 "," $5,419 "," $53,383 "
429,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Columbia County,GA," $14,053 "," $8,247 "," $13,849 "," $12,625 "," $8,080 "," $9,301 "," $66,155 "
430,"Cook County, GA",Cook County,GA," $8,411 "," $8,354 "," $12,898 "," $12,952 "," $6,075 "," $5,680 "," $54,368 "
431,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Coweta County,GA," $14,425 "," $8,408 "," $14,021 "," $12,924 "," $8,273 "," $9,621 "," $67,673 "
432,"Macon-Bibb County, GA HUD Metro FMR Area",Crawford County,GA," $8,830 "," $8,059 "," $13,653 "," $12,805 "," $6,120 "," $6,286 "," $55,752 "
433,"Crisp County, GA",Crisp County,GA," $8,581 "," $8,032 "," $12,445 "," $13,041 "," $6,020 "," $5,472 "," $53,591 "
434,"Chattanooga, TN-GA MSA",Dade County,GA," $9,455 "," $8,461 "," $13,763 "," $13,912 "," $6,492 "," $7,177 "," $59,260 "
435,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Dawson County,GA," $12,083 "," $9,482 "," $14,485 "," $12,595 "," $7,814 "," $8,823 "," $65,281 "
436,"Decatur County, GA",Decatur County,GA," $8,399 "," $8,032 "," $12,564 "," $12,952 "," $5,953 "," $5,408 "," $53,307 "
437,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",DeKalb County,GA," $15,386 "," $8,811 "," $11,967 "," $12,685 "," $8,767 "," $9,622 "," $67,238 "
438,"Dodge County, GA",Dodge County,GA," $8,198 "," $7,924 "," $12,967 "," $12,862 "," $5,842 "," $5,387 "," $53,180 "
439,"Dooly County, GA",Dooly County,GA," $8,317 "," $8,220 "," $12,857 "," $12,862 "," $5,992 "," $5,492 "," $53,739 "
440,"Albany, GA MSA",Dougherty County,GA," $9,882 "," $8,112 "," $11,663 "," $12,984 "," $6,520 "," $6,307 "," $55,468 "
441,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Douglas County,GA," $14,307 "," $8,059 "," $13,473 "," $12,924 "," $8,104 "," $9,212 "," $66,078 "
442,"Early County, GA",Early County,GA," $8,296 "," $8,515 "," $13,166 "," $12,952 "," $6,091 "," $5,742 "," $54,762 "
443,"Valdosta, GA MSA",Echols County,GA," $8,796 "," $8,166 "," $13,388 "," $12,894 "," $6,146 "," $6,323 "," $55,714 "
444,"Savannah, GA MSA",Effingham County,GA," $13,239 "," $8,327 "," $13,928 "," $12,415 "," $7,814 "," $8,760 "," $64,483 "
445,"Elbert County, GA",Elbert County,GA," $8,395 "," $8,220 "," $12,929 "," $11,904 "," $6,020 "," $5,318 "," $52,787 "
446,"Emanuel County, GA",Emanuel County,GA," $8,616 "," $7,280 "," $13,079 "," $12,682 "," $5,760 "," $5,343 "," $52,759 "
447,"Evans County, GA",Evans County,GA," $8,174 "," $8,461 "," $12,662 "," $12,473 "," $6,028 "," $5,416 "," $53,215 "
448,"Fannin County, GA",Fannin County,GA," $9,378 "," $8,461 "," $13,527 "," $13,580 "," $6,464 "," $6,596 "," $58,006 "
449,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Fayette County,GA," $17,453 "," $9,052 "," $13,994 "," $12,924 "," $9,604 "," $11,685 "," $74,712 "
450,"Rome, GA MSA",Floyd County,GA," $10,394 "," $7,790 "," $12,686 "," $13,223 "," $6,589 "," $6,849 "," $57,531 "
451,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Forsyth County,GA," $18,163 "," $9,348 "," $14,349 "," $12,924 "," $9,968 "," $12,387 "," $77,140 "
452,"Franklin County, GA",Franklin County,GA," $8,740 "," $8,488 "," $12,933 "," $12,652 "," $6,242 "," $5,824 "," $54,879 "
453,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Fulton County,GA," $15,860 "," $9,939 "," $11,593 "," $12,685 "," $9,348 "," $10,299 "," $69,723 "
454,"Gilmer County, GA",Gilmer County,GA," $9,362 "," $7,924 "," $13,523 "," $13,281 "," $6,264 "," $6,305 "," $56,659 "
455,"Glascock County, GA",Glascock County,GA," $8,898 "," $7,656 "," $13,732 "," $12,682 "," $5,998 "," $5,789 "," $54,755 "
456,"Brunswick, GA MSA",Glynn County,GA," $11,594 "," $9,348 "," $12,568 "," $11,248 "," $7,588 "," $7,493 "," $59,839 "
457,"Gordon County, GA",Gordon County,GA," $8,957 "," $7,521 "," $12,888 "," $13,281 "," $5,971 "," $5,723 "," $54,341 "
458,"Grady County, GA",Grady County,GA," $8,792 "," $7,709 "," $12,661 "," $12,952 "," $5,979 "," $5,507 "," $53,600 "
459,"Greene County, GA",Greene County,GA," $8,785 "," $8,676 "," $13,709 "," $11,904 "," $6,327 "," $5,910 "," $55,312 "
460,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Gwinnett County,GA," $16,742 "," $8,059 "," $13,029 "," $12,685 "," $8,986 "," $10,393 "," $69,893 "
461,"Habersham County, GA",Habersham County,GA," $8,905 "," $7,871 "," $13,712 "," $12,652 "," $6,079 "," $5,872 "," $55,090 "
462,"Gainesville, GA MSA",Hall County,GA," $12,498 "," $8,247 "," $13,318 "," $12,595 "," $7,517 "," $8,135 "," $62,310 "
463,"Hancock County, GA",Hancock County,GA," $8,670 "," $8,166 "," $13,339 "," $12,622 "," $6,100 "," $5,802 "," $54,700 "
464,"Haralson County, GA HUD Metro FMR Area",Haralson County,GA," $10,452 "," $8,085 "," $13,336 "," $15,408 "," $6,717 "," $7,904 "," $61,903 "
465,"Columbus, GA-AL MSA",Harris County,GA," $10,612 "," $8,918 "," $14,356 "," $12,415 "," $7,077 "," $7,750 "," $61,128 "
466,"Hart County, GA",Hart County,GA," $8,784 "," $7,629 "," $13,286 "," $12,652 "," $5,947 "," $5,603 "," $53,902 "
467,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Heard County,GA," $8,292 "," $8,300 "," $14,330 "," $15,408 "," $6,012 "," $7,090 "," $59,433 "
468,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Henry County,GA," $15,544 "," $8,085 "," $13,800 "," $12,685 "," $8,562 "," $9,963 "," $68,640 "
469,"Warner Robins, GA HUD Metro FMR Area",Houston County,GA," $11,738 "," $8,112 "," $13,074 "," $12,805 "," $7,193 "," $7,697 "," $60,619 "
470,"Irwin County, GA",Irwin County,GA," $8,200 "," $8,032 "," $13,322 "," $12,952 "," $5,881 "," $5,565 "," $53,951 "
471,"Jackson County, GA",Jackson County,GA," $10,054 "," $9,509 "," $14,227 "," $11,904 "," $7,088 "," $7,073 "," $59,856 "
472,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Jasper County,GA," $11,161 "," $7,978 "," $14,727 "," $12,924 "," $6,935 "," $7,825 "," $61,550 "
473,"Jeff Davis County, GA",Jeff Davis County,GA," $8,200 "," $7,709 "," $13,241 "," $12,892 "," $5,764 "," $5,367 "," $53,173 "
474,"Jefferson County, GA",Jefferson County,GA," $8,285 "," $8,032 "," $12,968 "," $12,682 "," $5,912 "," $5,456 "," $53,335 "
475,"Jenkins County, GA",Jenkins County,GA," $8,507 "," $8,139 "," $13,001 "," $12,682 "," $6,031 "," $5,584 "," $53,945 "
476,"Johnson County, GA",Johnson County,GA," $8,658 "," $7,871 "," $13,192 "," $12,892 "," $5,989 "," $5,653 "," $54,255 "
477,"Macon-Bibb County, GA HUD Metro FMR Area",Jones County,GA," $9,652 "," $7,790 "," $13,529 "," $12,805 "," $6,320 "," $6,560 "," $56,656 "
478,"Lamar County, GA HUD Metro FMR Area",Lamar County,GA," $9,740 "," $7,736 "," $13,430 "," $12,924 "," $6,332 "," $6,591 "," $56,754 "
479,"Valdosta, GA MSA",Lanier County,GA," $9,362 "," $8,300 "," $12,804 "," $12,894 "," $6,400 "," $6,498 "," $56,259 "
480,"Laurens County, GA",Laurens County,GA," $8,639 "," $8,220 "," $12,380 "," $12,892 "," $6,109 "," $5,565 "," $53,804 "
481,"Albany, GA MSA",Lee County,GA," $11,670 "," $9,133 "," $13,254 "," $12,984 "," $7,538 "," $8,177 "," $62,756 "
482,"Hinesville, GA HUD Metro FMR Area",Liberty County,GA," $13,010 "," $8,059 "," $11,743 "," $12,415 "," $7,634 "," $7,847 "," $60,709 "
483,"Lincoln County, GA HUD Metro FMR Area",Lincoln County,GA," $8,946 "," $8,220 "," $13,467 "," $12,625 "," $6,220 "," $6,278 "," $55,756 "
484,"Long County, GA HUD Metro FMR Area",Long County,GA," $9,638 "," $7,951 "," $12,998 "," $12,415 "," $6,373 "," $6,373 "," $55,749 "
485,"Valdosta, GA MSA",Lowndes County,GA," $10,545 "," $8,381 "," $12,147 "," $12,894 "," $6,858 "," $6,952 "," $57,777 "
486,"Lumpkin County, GA",Lumpkin County,GA," $10,925 "," $8,515 "," $13,605 "," $12,652 "," $7,044 "," $7,166 "," $59,907 "
487,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",McDuffie County,GA," $8,501 "," $7,548 "," $13,596 "," $12,625 "," $5,815 "," $5,886 "," $53,971 "
488,"Brunswick, GA MSA",McIntosh County,GA," $10,590 "," $8,569 "," $13,589 "," $11,248 "," $6,942 "," $6,944 "," $57,883 "
489,"Macon County, GA",Macon County,GA," $8,221 "," $8,247 "," $12,775 "," $13,670 "," $5,967 "," $5,747 "," $54,627 "
490,"Athens-Clarke County, GA MSA",Madison County,GA," $9,144 "," $8,596 "," $13,804 "," $11,847 "," $6,428 "," $6,448 "," $56,267 "
491,"Columbus, GA-AL MSA",Marion County,GA," $6,591 "," $8,408 "," $13,528 "," $13,612 "," $5,435 "," $5,521 "," $53,095 "
492,"Meriwether County, GA HUD Metro FMR Area",Meriwether County,GA," $10,524 "," $8,488 "," $13,172 "," $13,612 "," $6,889 "," $7,451 "," $60,137 "
493,"Miller County, GA",Miller County,GA," $8,981 "," $8,032 "," $13,353 "," $12,952 "," $6,164 "," $5,939 "," $55,420 "
494,"Mitchell County, GA",Mitchell County,GA," $8,317 "," $7,682 "," $12,917 "," $13,041 "," $5,797 "," $5,341 "," $53,097 "
495,"Monroe County, GA HUD Metro FMR Area",Monroe County,GA," $9,005 "," $7,978 "," $13,996 "," $12,805 "," $6,154 "," $6,513 "," $56,449 "
496,"Montgomery County, GA",Montgomery County,GA," $8,898 "," $7,736 "," $13,237 "," $12,892 "," $6,027 "," $5,732 "," $54,522 "
497,"Morgan County, GA HUD Metro FMR Area",Morgan County,GA," $11,347 "," $8,300 "," $14,389 "," $11,847 "," $7,119 "," $7,704 "," $60,706 "
498,"Murray County, GA HUD Metro FMR Area",Murray County,GA," $9,300 "," $7,844 "," $12,589 "," $13,523 "," $6,212 "," $6,343 "," $55,810 "
499,"Columbus, GA-AL MSA",Muscogee County,GA," $11,141 "," $8,730 "," $11,808 "," $12,415 "," $7,200 "," $7,165 "," $58,460 "
500,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Newton County,GA," $13,293 "," $7,871 "," $14,064 "," $12,924 "," $7,669 "," $8,741 "," $64,562 "
501,"Athens-Clarke County, GA MSA",Oconee County,GA," $12,802 "," $9,375 "," $14,130 "," $11,847 "," $8,035 "," $8,869 "," $65,058 "
502,"Athens-Clarke County, GA MSA",Oglethorpe County,GA," $9,272 "," $8,811 "," $14,270 "," $11,847 "," $6,552 "," $6,742 "," $57,493 "
503,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Paulding County,GA," $15,307 "," $8,166 "," $14,291 "," $12,924 "," $8,505 "," $10,110 "," $69,304 "
504,"Peach County, GA HUD Metro FMR Area",Peach County,GA," $9,542 "," $9,670 "," $13,099 "," $12,805 "," $6,961 "," $7,186 "," $59,263 "
505,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Pickens County,GA," $11,267 "," $8,730 "," $14,484 "," $13,223 "," $7,246 "," $8,240 "," $63,190 "
506,"Pierce County, GA",Pierce County,GA," $8,324 "," $7,602 "," $13,351 "," $13,281 "," $5,771 "," $5,560 "," $53,888 "
507,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Pike County,GA," $10,898 "," $7,682 "," $14,972 "," $12,924 "," $6,732 "," $7,634 "," $60,843 "
508,"Polk County, GA",Polk County,GA," $9,211 "," $7,602 "," $12,891 "," $13,281 "," $6,092 "," $5,840 "," $54,917 "
509,"Pulaski County, GA HUD Metro FMR Area",Pulaski County,GA," $8,854 "," $8,059 "," $12,997 "," $12,805 "," $6,128 "," $6,130 "," $54,971 "
510,"Putnam County, GA",Putnam County,GA," $9,869 "," $7,736 "," $13,565 "," $12,862 "," $6,379 "," $6,281 "," $56,691 "
511,"Quitman County, GA",Quitman County,GA," $8,569 "," $8,300 "," $12,815 "," $13,670 "," $6,112 "," $5,929 "," $55,395 "
512,"Rabun County, GA",Rabun County,GA," $8,683 "," $7,763 "," $13,572 "," $12,652 "," $5,959 "," $5,699 "," $54,329 "
513,"Randolph County, GA",Randolph County,GA," $8,155 "," $8,703 "," $13,226 "," $13,041 "," $6,108 "," $5,819 "," $55,053 "
514,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",Richmond County,GA," $10,861 "," $8,059 "," $12,477 "," $12,625 "," $6,855 "," $6,992 "," $57,868 "
515,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Rockdale County,GA," $13,899 "," $8,166 "," $13,671 "," $12,924 "," $7,995 "," $9,090 "," $65,745 "
516,"Schley County, GA",Schley County,GA," $8,736 "," $8,247 "," $13,198 "," $13,041 "," $6,153 "," $5,921 "," $55,296 "
517,"Screven County, GA",Screven County,GA," $8,669 "," $8,273 "," $13,158 "," $12,473 "," $6,139 "," $5,713 "," $54,425 "
518,"Seminole County, GA",Seminole County,GA," $8,936 "," $8,461 "," $13,232 "," $12,952 "," $6,304 "," $6,086 "," $55,971 "
519,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Spalding County,GA," $11,477 "," $7,656 "," $13,438 "," $12,924 "," $6,933 "," $7,452 "," $59,879 "
520,"Stephens County, GA",Stephens County,GA," $8,736 "," $7,575 "," $13,227 "," $12,652 "," $5,910 "," $5,559 "," $53,659 "
521,"Stewart County, GA",Stewart County,GA," $8,155 "," $8,542 "," $13,028 "," $13,670 "," $6,050 "," $5,883 "," $55,328 "
522,"Sumter County, GA",Sumter County,GA," $8,822 "," $8,247 "," $12,505 "," $13,041 "," $6,185 "," $5,778 "," $54,578 "
523,"Talbot County, GA",Talbot County,GA," $8,456 "," $8,542 "," $13,619 "," $13,670 "," $6,159 "," $6,208 "," $56,654 "
524,"Taliaferro County, GA",Taliaferro County,GA," $8,200 "," $9,079 "," $13,539 "," $12,682 "," $6,261 "," $6,014 "," $55,775 "
525,"Tattnall County, GA",Tattnall County,GA," $8,898 "," $8,085 "," $12,765 "," $12,473 "," $6,154 "," $5,643 "," $54,018 "
526,"Taylor County, GA",Taylor County,GA," $8,284 "," $8,220 "," $13,015 "," $13,670 "," $5,980 "," $5,830 "," $54,998 "
527,"Telfair County, GA",Telfair County,GA," $8,105 "," $7,871 "," $12,593 "," $12,892 "," $5,788 "," $5,203 "," $52,451 "
528,"Albany, GA MSA",Terrell County,GA," $8,451 "," $8,273 "," $13,025 "," $12,984 "," $6,060 "," $6,041 "," $54,835 "
529,"Thomas County, GA",Thomas County,GA," $9,925 "," $9,052 "," $12,427 "," $12,952 "," $6,876 "," $6,591 "," $57,824 "
530,"Tift County, GA",Tift County,GA," $8,201 "," $8,381 "," $12,246 "," $12,952 "," $6,008 "," $5,374 "," $53,161 "
531,"Toombs County, GA",Toombs County,GA," $8,472 "," $8,059 "," $12,647 "," $12,892 "," $5,990 "," $5,530 "," $53,589 "
532,"Towns County, GA",Towns County,GA," $9,276 "," $8,112 "," $13,693 "," $12,652 "," $6,300 "," $6,187 "," $56,221 "
533,"Treutlen County, GA",Treutlen County,GA," $8,780 "," $8,005 "," $13,324 "," $12,892 "," $6,082 "," $5,821 "," $54,904 "
534,"Troup County, GA",Troup County,GA," $10,393 "," $7,656 "," $12,500 "," $12,473 "," $6,540 "," $6,098 "," $55,659 "
535,"Turner County, GA",Turner County,GA," $8,200 "," $8,032 "," $12,968 "," $12,952 "," $5,881 "," $5,494 "," $53,526 "
536,"Macon-Bibb County, GA HUD Metro FMR Area",Twiggs County,GA," $7,635 "," $8,059 "," $13,411 "," $12,805 "," $5,686 "," $5,601 "," $53,196 "
537,"Union County, GA",Union County,GA," $8,694 "," $8,408 "," $13,940 "," $12,652 "," $6,197 "," $6,094 "," $55,985 "
538,"Upson County, GA",Upson County,GA," $8,390 "," $7,709 "," $12,549 "," $13,670 "," $5,834 "," $5,538 "," $53,689 "
539,"Chattanooga, TN-GA MSA",Walker County,GA," $9,834 "," $8,381 "," $13,238 "," $13,912 "," $6,600 "," $7,181 "," $59,146 "
540,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Walton County,GA," $13,162 "," $8,515 "," $14,351 "," $12,924 "," $7,854 "," $9,054 "," $65,860 "
541,"Ware County, GA",Ware County,GA," $8,466 "," $7,682 "," $12,093 "," $13,281 "," $5,851 "," $5,299 "," $52,672 "
542,"Warren County, GA",Warren County,GA," $8,352 "," $7,844 "," $13,196 "," $12,682 "," $5,868 "," $5,486 "," $53,428 "
543,"Washington County, GA",Washington County,GA," $8,658 "," $7,763 "," $12,901 "," $12,622 "," $5,950 "," $5,421 "," $53,316 "
544,"Wayne County, GA",Wayne County,GA," $8,395 "," $7,709 "," $12,767 "," $11,306 "," $5,835 "," $4,859 "," $50,872 "
545,"Webster County, GA",Webster County,GA," $8,200 "," $8,247 "," $13,436 "," $13,670 "," $5,959 "," $5,907 "," $55,418 "
546,"Wheeler County, GA",Wheeler County,GA," $8,780 "," $7,978 "," $13,102 "," $12,892 "," $6,072 "," $5,748 "," $54,572 "
